| 1000 | USA | Whitehead Torpedo (1890) | Steam | Torpedoes | 1 | Torpedo | 1890 | 1 | 0 | 0 | 0 | 0 | STARTING | FREE! Licensed from Whitehead, first US torpedo | Steam Torpedo |  | STARTING |
| 1012 | USA | Mark 14 Mod 0 | Steam | Torpedoes | 7 | Torpedo | 1931 | 0 | 600000 | 6 | 1200000 | 6 | SUBMARINE PRIMARY | 21" × 20.5 ft, 643 lbs Torpex, DEPTH CONTROL ISSUES | Steam Torpedo |  | SUBMARINE PRIMARY |
| 1013 | USA | Mark 15 Mod 0 | Steam | Torpedoes | 7 | Torpedo | 1938 | 0 | 650000 | 6 | 1300000 | 6 | SURFACE SHIP | Fletcher-class destroyer torpedo, 21" × 24 ft, 825 lbs warhead | Steam Torpedo |  | SURFACE SHIP |
| 1014 | USA | Mark 14 Mod 3 (Depth Fix) | Steam | Torpedoes | 7 | Torpedo | 1942 | 0 | 800000 | 3 | 1600000 | 3 | CRISIS FIX 1/3 | Depth control mechanism fixed, runs at correct depth | Steam Torpedo |  | CRISIS FIX 1/3 |
| 1015 | USA | Mark 14 Mod 4 (Magnetic Fix) | Steam | Torpedoes | 7 | Torpedo | 1943 | 0 | 900000 | 2 | 1800000 | 2 | CRISIS FIX 2/3 | Magnetic exploder deactivated, contact only | Steam Torpedo |  | CRISIS FIX 2/3 |
| 1016 | USA | Mark 14 Mod 5 (Contact Fix) | Steam | Torpedoes | 8 | Torpedo | 1943 | 0 | 1000000 | 2 | 2000000 | 2 | CRISIS RESOLVED | Contact exploder redesigned, FULLY FUNCTIONAL | Steam Torpedo |  | CRISIS RESOLVED |
| 1017 | USA | Mark 13 Mod 1 (Improved) | Steam | Torpedoes | 7 | Torpedo | 1942 | 0 | 700000 | 4 | 1400000 | 4 | Air Torpedo | Drag ring added, drop height increased to 800 ft | Steam Torpedo |  | Air Torpedo |
| 1018 | USA | Mark 13 Mod 2 (Final) | Steam | Torpedoes | 8 | Torpedo | 1944 | 0 | 900000 | 3 | 1800000 | 3 | Air Optimized | Pickle barrel fins, 2,400 yd range, 600 lbs Torpex | Steam Torpedo |  | Air Optimized |
| 1019 | USA | Mark 15 Mod 3 | Steam | Torpedoes | 8 | Torpedo | 1944 | 0 | 1100000 | 5 | 2200000 | 5 | Late-War Surface | Increased speed 45 kts, 6,000 yd range | Steam Torpedo |  | Late-War Surface |
| 1020 | USA | Mark 16 | Steam | Torpedoes | 8 | Torpedo | 1943 | 0 | 950000 | 5 | 1900000 | 5 | Submarine Heavy | Longer range 11,000 yd, slower 46 kts, same warhead | Steam Torpedo |  | Submarine Heavy |
| 1021 | USA | Mark 17 | Steam | Torpedoes | 8 | Torpedo | 1943 | 0 | 850000 | 4 | 1700000 | 4 | Submarine Light | Reduced warhead 300 lbs, 16,000 yd range | Steam Torpedo |  | Submarine Light |
| 1022 | USA | Mark 18 | Electric | Torpedoes | 8 | Torpedo | 1943 | 0 | 1200000 | 6 | 2400000 | 6 | WAKELESS | First US electric torpedo, battery-powered, 29 kts, 4,000 yd | Electric Torpedo |  | WAKELESS |
| 1023 | USA | Mark 24 "Fido" | Acoustic | Torpedoes | 9 | Torpedo | 1943 | 0 | 2000000 | 8 | 4000000 | 8 | FIRST HOMING | Air-dropped ASW, passive acoustic homing, 12 kts, 3,900 ft depth | Acoustic Torpedo |  | FIRST HOMING |
| 1024 | USA | Mark 27 | Acoustic | Torpedoes | 9 | Torpedo | 1945 | 0 | 2200000 | 7 | 4400000 | 7 | Submarine ASW | Submarine-launched acoustic homing, 12 kts | Acoustic Torpedo |  | Submarine ASW |
| 1025 | USA | Mark 28 | Acoustic | Torpedoes | 9 | Torpedo | 1946 | 0 | 2400000 | 8 | 4800000 | 8 | Surface ASW | Surface-launched ASW torpedo, shallow water optimized | Acoustic Torpedo |  | Surface ASW |
| 1026 | USA | Mark 32 | Electric | Torpedoes | 9 | Torpedo | 1946 | 0 | 2600000 | 9 | 5200000 | 9 | Post-War Sub | Improved Mark 18, 35 kts, 8,000 yd range | Electric Torpedo |  | Post-War Sub |
| 1027 | USA | Mark 35 | Acoustic | Torpedoes | 9 | Torpedo | 1949 | 0 | 2800000 | 10 | 5600000 | 10 | Deep ASW | Deep-diving ASW torpedo, 17 kts, active/passive sonar | Acoustic Torpedo |  | Deep ASW |
| 1028 | USA | Mark 37 | Acoustic | Torpedoes | 10 | Torpedo | 1956 | 0 | 3500000 | 12 | 7000000 | 12 | HEAVYWEIGHT | 19" × 11.3 ft, active/passive homing, 26 kts, 11,000 yd | Acoustic Torpedo |  | HEAVYWEIGHT |
| 1029 | USA | Mark 39 (Mod Mark 37) | Acoustic | Torpedoes | 10 | Torpedo | 1957 | 0 | 3200000 | 10 | 6400000 | 10 | Mod 37 | Nuclear warhead variant (W34, 10 kt yield) for ASW | Acoustic Torpedo |  | Mod 37 |
| 1030 | USA | Mark 41 | Acoustic | Torpedoes | 10 | Torpedo | 1957 | 0 | 3300000 | 11 | 6600000 | 11 | ASW Specialist | Air-dropped, 5,500 yd range, wire-guided option | Acoustic Torpedo |  | ASW Specialist |
| 1031 | USA | Mark 43 | Acoustic | Torpedoes | 9 | Torpedo | 1961 | 0 | 3000000 | 9 | 6000000 | 9 | Lightweight | Air/surface launch, 10.75" × 8.3 ft, 4,500 yd range | Acoustic Torpedo |  | Lightweight |
| 1032 | USA | Mark 44 | Acoustic | Torpedoes | 9 | Torpedo | 1962 | 0 | 3100000 | 10 | 6200000 | 10 | ASW Standard | Replaced Mark 43, active/passive sonar, 30 kts | Acoustic Torpedo |  | ASW Standard |
| 1033 | USA | Mark 45 ASTOR | Nuclear | Torpedoes | 10 | Torpedo | 1963 | 0 | 5000000 | 16 | 10000000 | 16 | NUCLEAR ASW | 19" torpedo, W34 warhead, 11 kt yield, ASROC-delivered | Nuclear Torpedo |  | NUCLEAR ASW |
| 1034 | USA | Mark 46 Mod 0 | Acoustic | Torpedoes | 9 | Torpedo | 1965 | 0 | 3400000 | 10 | 6800000 | 10 | LIGHTWEIGHT STANDARD | 12.75" × 8.5 ft, 45 kts, 5,500 yd, active/passive | Acoustic Torpedo |  | LIGHTWEIGHT STANDARD |
| 1035 | USA | Mark 46 Mod 1 | Acoustic | Torpedoes | 9 | Torpedo | 1967 | 0 | 3500000 | 9 | 7000000 | 9 | Improved Seeker | Better shallow water performance, counter-countermeasures | Acoustic Torpedo |  | Improved Seeker |
| 1036 | USA | Mark 46 Mod 2 | Acoustic | Torpedoes | 9 | Torpedo | 1972 | 0 | 3600000 | 9 | 7200000 | 9 | Deep Capable | Increased depth capability to 1,500 ft | Acoustic Torpedo |  | Deep Capable |
| 1037 | USA | Mark 46 Mod 5 | Acoustic | Torpedoes | 10 | Torpedo | 1979 | 0 | 4000000 | 10 | 8000000 | 10 | NEARTIP | Near-Term Improvement Program, digital processing | Acoustic Torpedo |  | NEARTIP |
| 1038 | USA | Mark 48 Mod 0 | Wire-Guided | Torpedoes | 10 | Torpedo | 1972 | 0 | 8000000 | 18 | 16000000 | 18 | HEAVYWEIGHT STANDARD | 21" × 19 ft, wire-guided, active/passive, 55 kts, 38,000 yd | Wire-Guided Torpedo |  | HEAVYWEIGHT STANDARD |
| 1039 | USA | Mark 48 Mod 1 | Wire-Guided | Torpedoes | 10 | Torpedo | 1975 | 0 | 8500000 | 16 | 17000000 | 16 | ADCAP Development | Advanced Capability, improved guidance | Wire-Guided Torpedo |  | ADCAP Development |
| 1040 | USA | Mark 48 Mod 3 | Wire-Guided | Torpedoes | 10 | Torpedo | 1977 | 0 | 9000000 | 16 | 18000000 | 16 | Range Extension | 28,000 yd at 55 kts, 50,000 yd at 40 kts | Wire-Guided Torpedo |  | Range Extension |
| 1041 | USA | Mark 48 ADCAP (Mod 4) | Wire-Guided | Torpedoes | 10 | Torpedo | 1985 | 0 | 12000000 | 20 | 24000000 | 20 | ADVANCED CAPABILITY | Digital guidance, under-ice capable, deeper diving | Wire-Guided Torpedo |  | ADVANCED CAPABILITY |
| 1042 | USA | Mark 48 ADCAP (Mod 5) | Wire-Guided | Torpedoes | 10 | Torpedo | 1988 | 0 | 13000000 | 18 | 26000000 | 18 | Modern Standard | Improved processing, multi-target engagement, 1,200 lb warhead | Wire-Guided Torpedo |  | Modern Standard |
| 1043 | USA | Mark 48 ADCAP (Mod 6) | Wire-Guided | Torpedoes | 10 | Torpedo | 1990 | 0 | 14000000 | 20 | 28000000 | 20 | CURRENT VARIANT | Enhanced countermeasures, shallow water, 65 kts rumored | Wire-Guided Torpedo |  | CURRENT VARIANT |
| 1044 | USA | Mark 50 | Acoustic | Torpedoes | 10 | Torpedo | 1989 | 0 | 6000000 | 14 | 12000000 | 14 | LIGHTWEIGHT ADVANCED | 12.75", stored chemical energy propulsion, 60+ kts | Acoustic Torpedo |  | LIGHTWEIGHT ADVANCED |
| 1045 | USA | Mark 46 Mod 5A(S) | Acoustic | Torpedoes | 10 | Torpedo | 1987 | 0 | 4200000 | 10 | 8400000 | 10 | Surface Variant | Shallow water optimized, surface ship use | Acoustic Torpedo |  | Surface Variant |
| 1046 | USA | Mark 46 NEARTIP Mod 5A/S | Acoustic | Torpedoes | 10 | Torpedo | 1989 | 0 | 4500000 | 11 | 9000000 | 11 | Final Mod 5 | Ultimate Mark 46 variant, digital seeker | Acoustic Torpedo |  | Final Mod 5 |
| 1047 | USA | Mark 37C | Acoustic | Torpedoes | 10 | Torpedo | 1960 | 0 | 3700000 | 12 | 7400000 | 12 | Export Variant | Downgraded Mark 37 for allied navies | Acoustic Torpedo |  | Export Variant |
| 1048 | USA | Mark 48 Mod 4 (Export) | Wire-Guided | Torpedoes | 10 | Torpedo | 1986 | 0 | 10000000 | 18 | 20000000 | 18 | Allied Export | Reduced performance for NATO allies | Wire-Guided Torpedo |  | Allied Export |
| 1049 | USA | Mark 60 CAPTOR | Mine-Torpedo | Torpedoes | 10 | Torpedo | 1979 | 0 | 5000000 | 16 | 10000000 | 16 | ENCAPSULATED | Mark 46 torpedo in mine casing, submarine detection trigger | Mine-Torpedo Torpedo |  | ENCAPSULATED |
| 1050 | USA | ALWT (Advanced Lightweight) | Acoustic | Torpedoes | 10 | Torpedo | 1985 | 0 | 7000000 | 18 | 14000000 | 18 | R&D PROGRAM | Development program (became Mark 50), stored energy | Acoustic Torpedo |  | R&D PROGRAM |
| 1051 | USA | Mark 51 | Acoustic | Torpedoes | 10 | Torpedo | 1960 | 0 | 4000000 | 12 | 8000000 | 12 | CANCELLED | Lightweight ASW, cancelled in favor of Mark 44 | Acoustic Torpedo |  | CANCELLED |
| 1052 | USA | Mark 52 | Electric | Torpedoes | 10 | Torpedo | 1965 | 0 | 4500000 | 14 | 9000000 | 14 | PAPER DESIGN | Improved Mark 48 concept, not produced | Electric Torpedo |  | PAPER DESIGN |
| 1053 | USA | Mark 53 | Wire-Guided | Torpedoes | 10 | Torpedo | 1970 | 0 | 5000000 | 16 | 10000000 | 16 | PROTOTYPE ONLY | Experimental guidance system, 2 built | Wire-Guided Torpedo |  | PROTOTYPE ONLY |
| 1054 | USA | Mark 25 "Atomic Astor" | Nuclear | Torpedoes | 10 | Torpedo | 1945 | 0 | 8000000 | 24 | 16000000 | 24 | CONCEPT | Post-war nuclear torpedo concept, not developed | Nuclear Torpedo |  | CONCEPT |
| 1055 | USA | Mark 30 | Exercise | Torpedoes | 6 | Torpedo | 1945 | 0 | 100000 | 2 | 200000 | 2 | TRAINING | Exercise torpedo, recoverable, no warhead | Exercise Torpedo |  | TRAINING |
| 1056 | USA | Mark 33 | Exercise | Torpedoes | 7 | Torpedo | 1946 | 0 | 120000 | 2 | 240000 | 2 | Mod 30 | Improved recovery system, radio beacon | Exercise Torpedo |  | Mod 30 |
| 1057 | USA | Mark 34 | Exercise | Torpedoes | 8 | Torpedo | 1950 | 0 | 150000 | 3 | 300000 | 3 | Advanced Training | Multiple run capability, self-destruct safety | Exercise Torpedo |  | Advanced Training |
| 1058 | USA | Mark 36 | Exercise | Torpedoes | 9 | Torpedo | 1955 | 0 | 200000 | 4 | 400000 | 4 | Modern Exercise | Electric propulsion, multiple uses, quiet | Exercise Torpedo |  | Modern Exercise |
| 1059 | USA | Mark 40 | Exercise | Torpedoes | 9 | Torpedo | 1958 | 0 | 180000 | 3 | 360000 | 3 | Target Torpedo | Simulates enemy torpedoes for ASW training | Exercise Torpedo |  | Target Torpedo |
| 1060 | USA | MK-59 | Exercise | Torpedoes | 10 | Torpedo | 1970 | 0 | 250000 | 5 | 500000 | 5 | Mark 46 Trainer | Exercise version of Mark 46 for crew training | Exercise Torpedo |  | Mark 46 Trainer |
| 1061 | USA | MK-48 EXTORP | Exercise | Torpedoes | 10 | Torpedo | 1980 | 0 | 500000 | 8 | 1000000 | 8 | Heavyweight Trainer | Full-sized Mark 48 exercise torpedo, no warhead | Exercise Torpedo |  | Heavyweight Trainer |
| 1100 | British | Whitehead Torpedo (Original) | Compressed Air | Torpedoes | 1 | Torpedo | 1866 | 1 | 0 | 0 | 0 | 0 | INVENTOR | FREE! First self-propelled torpedo, 14" × 11 ft, 18 lbs dynamite | Compressed Air Torpedo |  | INVENTOR |
| 1101 | British | Whitehead Mark I | Compressed Air | Torpedoes | 2 | Torpedo | 1871 | 0 | 50000 | 1 | 100000 | 1 | Early RN | Royal Navy adoption, improved gyroscope, 16" diameter | Compressed Air Torpedo |  | Early RN |
| 1102 | British | Whitehead Mark II | Compressed Air | Torpedoes | 2 | Torpedo | 1876 | 0 | 75000 | 2 | 150000 | 2 | RN Standard | 16" × 12 ft, Brotherhood engine, 7 kts, 600 yd range | Compressed Air Torpedo |  | RN Standard |
| 1103 | British | Whitehead Mark III | Compressed Air | Torpedoes | 3 | Torpedo | 1882 | 0 | 120000 | 2 | 240000 | 2 | Colonial Era | 18" diameter introduced, 800 yd range, 67 lbs guncotton | Compressed Air Torpedo |  | Colonial Era |
| 1104 | British | Whitehead Mark IV | Steam | Torpedoes | 3 | Torpedo | 1886 | 0 | 150000 | 2 | 300000 | 2 | Steam Transition | First steam-heated torpedo, 18" × 14 ft, 10 kts | Steam Torpedo |  | Steam Transition |
| 1105 | British | 18" Mark V | Steam | Torpedoes | 4 | Torpedo | 1895 | 0 | 200000 | 3 | 400000 | 3 | Victorian | 18" × 14.5 ft, improved heating, 1,000 yd range, 200 lbs | Steam Torpedo |  | Victorian |
| 1106 | British | 18" Mark VI | Steam | Torpedoes | 4 | Torpedo | 1900 | 0 | 250000 | 3 | 500000 | 3 | Pre-Dreadnought | 18" × 15 ft, 29 kts, 3,000 yd range, destroyer standard | Steam Torpedo |  | Pre-Dreadnought |
| 1107 | British | 21" Mark I | Steam | Torpedoes | 5 | Torpedo | 1908 | 0 | 350000 | 4 | 700000 | 4 | DREADNOUGHT ERA | First 21" torpedo, battleship/cruiser weapon, 5,000 yd | Steam Torpedo |  | DREADNOUGHT ERA |
| 1108 | British | 21" Mark II | Steam | Torpedoes | 5 | Torpedo | 1914 | 0 | 400000 | 4 | 800000 | 4 | WWI Submarine | Submarine torpedo, 21" × 17.7 ft, 35 kts, 10,000 yd | Steam Torpedo |  | WWI Submarine |
| 1109 | British | 18" Mark VII | Steam | Torpedoes | 5 | Torpedo | 1915 | 0 | 300000 | 3 | 600000 | 3 | Destroyer Optimized | Improved Mark VI, 35 kts, 5,000 yd, lighter for destroyers | Steam Torpedo |  | Destroyer Optimized |
| 1110 | British | 21" Mark III | Steam | Torpedoes | 6 | Torpedo | 1916 | 0 | 450000 | 5 | 900000 | 5 | WWI Heavy | Battleship/cruiser torpedo, 21" × 21 ft, heavier warhead 400 lbs | Steam Torpedo |  | WWI Heavy |
| 1111 | British | 21" Mark IV | Steam | Torpedoes | 6 | Torpedo | 1918 | 0 | 500000 | 5 | 1000000 | 5 | Late WWI Sub | Improved Mark II, 40 kts, 5,000 yd, 515 lbs TNT | Steam Torpedo |  | Late WWI Sub |
| 1112 | British | 18" Mark VIII | Steam | Torpedoes | 6 | Torpedo | 1918 | 0 | 400000 | 4 | 800000 | 4 | Destroyer Final | Final 18" variant, 40 kts, 6,000 yd, 176 lbs Amatol | Steam Torpedo |  | Destroyer Final |
| 1113 | British | 21" Mark V | Steam | Torpedoes | 6 | Torpedo | 1920 | 0 | 520000 | 5 | 1040000 | 5 | Post-WWI | Refined Mark IV, better gyroscope, reduced maintenance | Steam Torpedo |  | Post-WWI |
| 1114 | British | 21" Mark VI | Steam | Torpedoes | 7 | Torpedo | 1925 | 0 | 550000 | 6 | 1100000 | 6 | Interwar Standard | Wet-heater engine, 40 kts, 8,000 yd, 750 lbs TNT | Steam Torpedo |  | Interwar Standard |
| 1115 | British | 21" Mark VII | Steam | Torpedoes | 7 | Torpedo | 1928 | 0 | 580000 | 6 | 1160000 | 6 | Surface Ship | Destroyer/cruiser torpedo, improved reliability, 7,000 yd | Steam Torpedo |  | Surface Ship |
| 1116 | British | 21" Mark VIII | Steam | Torpedoes | 8 | Torpedo | 1927 | 0 | 750000 | 7 | 1500000 | 7 | SUBMARINE STANDARD | **Most reliable WWII sub torpedo**, 41 kts, 7,000 yd, 805 lbs Torpex | Steam Torpedo |  | SUBMARINE STANDARD |
| 1117 | British | 21" Mark VIII** | Steam | Torpedoes | 8 | Torpedo | 1942 | 0 | 900000 | 5 | 1800000 | 5 | WARTIME UPGRADE | Burner-cycle engine, 45 kts, 9,000 yd, same warhead, LEGENDARY | Steam Torpedo |  | WARTIME UPGRADE |
| 1118 | British | 21" Mark IX | Steam | Torpedoes | 8 | Torpedo | 1930 | 0 | 700000 | 6 | 1400000 | 6 | SURFACE STANDARD | Destroyer/cruiser primary, 36 kts, 10,500 yd, 750 lbs | Steam Torpedo |  | SURFACE STANDARD |
| 1119 | British | 21" Mark IX** | Steam | Torpedoes | 8 | Torpedo | 1943 | 0 | 850000 | 5 | 1700000 | 5 | Wartime Mod | Improved Mark IX, 41 kts, 13,500 yd, 810 lbs Torpex | Steam Torpedo |  | Wartime Mod |
| 1120 | British | 18" Mark X | Aerial | Torpedoes | 7 | Torpedo | 1932 | 0 | 600000 | 5 | 1200000 | 5 | FIRST AERIAL | First British aerial torpedo, 18" × 17 ft, biplane-launched | Aerial Torpedo |  | FIRST AERIAL |
| 1121 | British | 18" Mark XI | Aerial | Torpedoes | 7 | Torpedo | 1935 | 0 | 650000 | 5 | 1300000 | 5 | Carrier Improved | Swordfish/Albacore torpedo, shrouded prop, stabilizing vanes | Aerial Torpedo |  | Carrier Improved |
| 1122 | British | 18" Mark XII | Aerial | Torpedoes | 8 | Torpedo | 1938 | 0 | 850000 | 6 | 1700000 | 6 | SWORDFISH STANDARD | **Sank Bismarck**, 18" × 17.7 ft, 40 kts, 1,500 yd, 388 lbs Torpex | Aerial Torpedo |  | SWORDFISH STANDARD |
| 1123 | British | 18" Mark XV (Aerial) | Aerial | Torpedoes | 8 | Torpedo | 1943 | 0 | 1000000 | 5 | 2000000 | 5 | Late-War Air | Improved stability, 40 kts, 2,500 yd, Barracuda/Avenger use | Aerial Torpedo |  | Late-War Air |
| 1124 | British | 21" Mark X | Steam | Torpedoes | 8 | Torpedo | 1935 | 0 | 720000 | 6 | 1440000 | 6 | Cruiser Optimized | Heavy cruiser torpedo, 40 kts, 9,000 yd, 750 lbs | Steam Torpedo |  | Cruiser Optimized |
| 1125 | British | 21" Mark XI | Steam | Torpedoes | 8 | Torpedo | 1937 | 0 | 750000 | 6 | 1500000 | 6 | MTB Torpedo | Motor Torpedo Boat weapon, shorter 21" × 17 ft, 40 kts | Steam Torpedo |  | MTB Torpedo |
| 1126 | British | 21" Mark XII | Steam | Torpedoes | 8 | Torpedo | 1939 | 0 | 800000 | 6 | 1600000 | 6 | Destroyer Late | Pre-war destroyer standard, 45 kts, 6,000 yd, 600 lbs | Steam Torpedo |  | Destroyer Late |
| 1127 | British | 21" Mark XIII | Oxygen (Experimental) | Torpedoes | 8 | Torpedo | 1935 | 0 | 1500000 | 12 | 3000000 | 12 | ABANDONED | Oxygen experiment (like Type 93), too dangerous, cancelled | Oxygen (Experimental) Torpedo |  | ABANDONED |
| 1128 | British | 21" Mark XIV | Electric | Torpedoes | 9 | Torpedo | 1943 | 0 | 1200000 | 7 | 2400000 | 7 | WAKELESS | Battery-electric, 8 kts, 4,000 yd, slow but silent, MTB use | Electric Torpedo |  | WAKELESS |
| 1129 | British | 21" Mark XV (Sub) | Steam | Torpedoes | 8 | Torpedo | 1942 | 0 | 950000 | 6 | 1900000 | 6 | Sub Heavy | Heavy warhead variant, 35 kts, 5,000 yd, 900 lbs Torpex | Steam Torpedo |  | Sub Heavy |
| 1130 | British | 21" Mark XVI | Electric | Torpedoes | 9 | Torpedo | 1944 | 0 | 1300000 | 7 | 2600000 | 7 | Silent Hunter | Improved Mark XIV, 12 kts, 5,000 yd, 750 lbs Torpex | Electric Torpedo |  | Silent Hunter |
| 1131 | British | 21" Mark XVII | Hydrogen Peroxide | Torpedoes | 9 | Torpedo | 1945 | 0 | 1800000 | 9 | 3600000 | 9 | EXPERIMENTAL | HTP propulsion, 45 kts, 9,000 yd, unreliable, limited use | Hydrogen Peroxide Torpedo |  | EXPERIMENTAL |
| 1132 | British | Mark 18 | Acoustic | Torpedoes | 9 | Torpedo | 1946 | 0 | 2000000 | 8 | 4000000 | 8 | FIRST HOMING | Passive acoustic homing, ASW torpedo, 17 kts, 5,000 yd | Acoustic Torpedo |  | FIRST HOMING |
| 1133 | British | Mark 19 | Acoustic | Torpedoes | 9 | Torpedo | 1948 | 0 | 2100000 | 8 | 4200000 | 8 | Improved Homing | Better sonar, shallow water optimized, 20 kts | Acoustic Torpedo |  | Improved Homing |
| 1134 | British | Mark 20 | Acoustic | Torpedoes | 9 | Torpedo | 1955 | 0 | 2400000 | 10 | 4800000 | 10 | EARLY GUIDED | Wire-guided option, 20" × 11 ft, passive homing, 30 kts | Acoustic Torpedo |  | EARLY GUIDED |
| 1135 | British | Mark 20S | Acoustic | Torpedoes | 9 | Torpedo | 1957 | 0 | 2500000 | 9 | 5000000 | 9 | Surface Variant | Surface ship-launched Mark 20, ASW optimized | Acoustic Torpedo |  | Surface Variant |
| 1136 | British | Mark 21 | Electric | Torpedoes | 9 | Torpedo | 1948 | 0 | 2200000 | 9 | 4400000 | 9 | Silent Sub | Improved electric, 25 kts, 7,000 yd, wakeless | Electric Torpedo |  | Silent Sub |
| 1137 | British | Mark 22 | Acoustic | Torpedoes | 9 | Torpedo | 1952 | 0 | 2300000 | 10 | 4600000 | 10 | ASW Standard | Helicopter-launched, lightweight 12.75", 25 kts | Acoustic Torpedo |  | ASW Standard |
| 1138 | British | Mark 23 | Acoustic | Torpedoes | 9 | Torpedo | 1959 | 0 | 2600000 | 11 | 5200000 | 11 | Homing Improved | Active/passive sonar, 30 kts, better countermeasures | Acoustic Torpedo |  | Homing Improved |
| 1139 | British | Mark 24 Tigerfish Mod 0 | Wire-Guided | Torpedoes | 10 | Torpedo | 1974 | 0 | 4500000 | 16 | 9000000 | 16 | HEAVYWEIGHT | 21" × 21 ft, wire-guided, active/passive, 35 kts, 29,000 yd | Wire-Guided Torpedo |  | HEAVYWEIGHT |
| 1140 | British | Mark 24 Tigerfish Mod 1 | Wire-Guided | Torpedoes | 10 | Torpedo | 1980 | 0 | 5000000 | 14 | 10000000 | 14 | Improved Guidance | Digital guidance, better shallow water, 40 kts | Wire-Guided Torpedo |  | Improved Guidance |
| 1141 | British | Mark 24 Tigerfish Mod 2 | Wire-Guided | Torpedoes | 10 | Torpedo | 1986 | 0 | 5500000 | 15 | 11000000 | 15 | Final Variant | Enhanced seeker, improved reliability, 35 kts, 39,000 yd | Wire-Guided Torpedo |  | Final Variant |
| 1142 | British | Stingray Mod 0 | Acoustic | Torpedoes | 10 | Torpedo | 1983 | 0 | 3500000 | 12 | 7000000 | 12 | LIGHTWEIGHT | 12.75" × 8.5 ft, shaped-charge warhead, 45 kts, 7,000 yd | Acoustic Torpedo |  | LIGHTWEIGHT |
| 1143 | British | Stingray Mod 1 | Acoustic | Torpedoes | 10 | Torpedo | 1988 | 0 | 3800000 | 11 | 7600000 | 11 | Improved Seeker | Better shallow water, fire-and-forget, helo/surface launch | Acoustic Torpedo |  | Improved Seeker |
| 1144 | British | Spearfish | Wire-Guided | Torpedoes | 10 | Torpedo | 1988 | 0 | 10000000 | 20 | 20000000 | 20 | HEAVYWEIGHT MODERN | **21" × 21 ft, dual propulsion**, 65+ kts, 40,000+ yd, LEGENDARY | Wire-Guided Torpedo |  | HEAVYWEIGHT MODERN |
| 1145 | British | Spearfish Mod 1 | Wire-Guided | Torpedoes | 10 | Torpedo | 1992 | 0 | 11000000 | 18 | 22000000 | 18 | Enhanced | (Future variant beyond 1990 scope, included for completeness) | Wire-Guided Torpedo |  | Enhanced |
